date,venue_id,race_no,frame_no,car_no,name_kanji,racer_id,age,prefecture,term,grade,style,gear,score,first_places,second_places,third_places,outs,win_rate,top2_rate,top3_rate,style_escape,style_sprint,style_chase,style_other,start_number,back_number,recent_place1,recent_date1,recent_result1_1,recent_result1_2,recent_result1_3,recent_result1_4,recent_place2,recent_date2,recent_result2_1,recent_result2_2,recent_result2_3,recent_result2_4,recent_place3,recent_date3,recent_result3_1,recent_result3_2,recent_result3_3,recent_result3_4,comment,line_id,line_pos
2025-05-31,23,3,5,6,竹田　和幸,13196,48,岐阜,78,Ｓ２,追,3.93,94.28,2,0,4,24,6.67,6.67,20,0,0,2,0,2,0,取手,05/31,,,,,高松,05/21,予5,般5,般7,,岐阜,05/14,般3,般5,,,石川勢へ。,1,3
2025-05-31,23,3,5,7,佐藤　一伸,14356,37,福島,94,Ｓ１,両,3.93,108.15,10,4,2,10,38.46,53.85,61.54,0,7,7,0,1,3,取手,05/31,,,,,京王閣,05/24,初4,準1,決1,,岸和田,05/18,初5,準5,特1,,邊見君。,2,2
2025-05-31,23,3,6,8,山田　義彦,14230,39,埼玉,92,Ｓ２,両,3.92,95.50,2,2,1,21,7.69,15.38,19.23,0,0,2,2,1,0,取手,05/31,,,,,大垣,05/20,予7,般6,般2,,高松,05/05,予6,般7,般7,,福島勢へ。,2,3
2025-05-31,23,3,6,9,河端　朋之,14484,40,岡山,95,Ｓ１,逃,3.93,108.46,5,4,2,15,19.23,34.62,42.31,2,5,2,0,9,8,取手,05/31,,,,,青森,05/24,特1,Ｄ7,,,福井,05/14,初6,準5,特2,,自力。,3,1
2025-05-31,23,4,1,1,小畑　勝広,15336,26,茨城,115,Ｓ２,逃,3.92,103.68,3,2,5,9,15.79,26.32,52.63,2,2,1,0,0,8,取手,05/31,,,,,弥彦,05/20,予1,準6,特6,,玉野,05/12,予3,準2,決7,,自力。,1,1
2025-05-31,23,4,2,2,桑原　大志,13355,49,山口,80,Ｓ１,追,3.92,109.22,4,4,4,11,17.39,34.78,52.17,0,1,5,2,0,0,取手,05/31,,,,,青森,05/24,特3,Ｄ4,,,福井,05/14,予1,準3,決3,,阿竹君。,2,2
2025-05-31,23,4,3,3,紺野　哲也,12487,52,宮城,69,Ｓ２,追,3.92,103.50,6,6,4,10,23.08,46.15,61.54,0,0,9,3,2,0,取手,05/31,,,,,京王閣,05/24,予4,抜2,特1,,川崎,05/15,予1,準5,特2,,坂本君。,4,2
2025-05-31,23,4,4,4,畑段　嵐士,15004,34,京都,105,Ｓ２,両,3.92,99.92,1,3,4,18,3.85,15.38,30.77,0,2,1,1,4,2,取手,05/31,,,,,京王閣,05/24,予3,準4,特2,,岐阜,05/14,予4,抜1,特4,,自力自在。,3,1
2025-05-31,23,4,4,5,阿竹　智史,14105,43,徳島,90,Ｓ１,両,3.92,108.96,4,5,4,10,17.39,39.13,56.52,0,2,5,2,1,2,取手,05/31,,,,,青森,05/24,抜2,Ｄ9,,,川崎,05/15,初3,準3,特3,,自力自在。,2,1
2025-05-31,23,4,5,6,木村　直隆,13798,46,兵庫,86,Ｓ２,追,3.93,94.70,0,1,3,19,0,4.35,17.39,0,0,1,0,0,1,取手,05/31,,,,,奈良,05/23,予6,般7,般4,,宇都宮,05/15,一9,抜8,般6,般7,畑段君。,3,2
2025-05-31,23,4,5,7,磯田　　旭,14506,35,栃木,96,Ｓ２,追,3.92,103.53,4,4,1,10,21.05,42.11,47.37,0,0,6,2,2,0,取手,05/31,,,,,弥彦,05/27,予1,準6,特2,,玉野,05/18,予3,準4,特7,,小畑君へ。,1,2
2025-05-31,23,4,6,8,坂本　周作,14982,33,青森,105,Ｓ２,逃,3.92,97.84,4,2,2,11,21.05,31.58,42.11,1,1,4,0,0,2,取手,05/31,,,,,奈良,05/23,予3,準7,般2,,川崎,05/15,,,,,自力。,4,1
2025-05-31,23,4,6,9,相川　永伍,14448,41,埼玉,95,Ｓ２,追,3.92,101.45,3,2,1,14,15,25,30,0,1,3,1,2,0,取手,05/31,,,,,京王閣,05/24,予4,抜3,特4,,福井,05/14,予5,抜7,般1,,茨栃勢へ。,1,3
2025-05-31,23,5,1,1,井上　昌己,13815,45,長崎,86,Ｓ１,追,3.92,109.07,5,2,2,6,33.33,46.67,60,0,0,6,1,3,0,取手,05/31,,,,,武雄,05/20,初3,準1,決2,,名古屋,04/29,一2,二8,特8,特4,松本君。,1,2
2025-05-31,23,5,2,2,蒔田　英彦,14298,42,千葉,93,Ｓ２,逃,3.92,97.89,5,3,3,17,17.86,28.57,39.29,2,2,4,0,4,5,取手,05/31,,,,,京王閣,05/24,予6,般1,特6,,川崎,05/15,予5,般1,特3,,自力。,2,1
2025-05-31,23,5,3,3,神田　紘輔,14837,39,大阪,100,Ｓ１,追,3.92,106.48,3,5,2,13,13.04,34.78,43.48,0,0,4,4,5,0,取手,05/31,,,,,青森,05/24,抜5,抜2,,,玉野,05/12,初5,準6,特5,,上杉君。,4,2
2025-05-31,23,5,4,4,清水　一幸,15123,38,大阪,109,Ｓ２,追,3.93,97.65,1,2,5,18,3.85,11.54,30.77,0,0,3,0,7,0,取手,05/31,,,,,京王閣,05/24,予3,準5,特2,,宇都宮,05/15,一6,抜7,般5,般2,近畿３番手。,4,3
2025-05-31,23,5,4,5,阪本　和也,15386,30,長崎,115,Ｓ２,追,3.92,100.67,3,1,5,18,11.11,14.81,33.33,0,0,3,1,9,0,取手,05/31,,,,,青森,05/24,抜3,特5,,,宇都宮,05/15,一5,二7,特8,抜9,九州３番手。,1,3
2025-05-31,23,5,5,6,金子　真也,12501,52,群馬,69,Ｓ２,追,3.92,92.00,0,0,0,2,0,0,0,0,0,0,0,0,0,取手,05/31,,,,,京王閣,05/24,,,,,名古屋,03/01,一6,抜8,,,単騎。,3,1
