date,venue_id,race_no,frame_no,car_no,name_kanji,racer_id,age,prefecture,term,grade,style,gear,score,first_places,second_places,third_places,outs,win_rate,top2_rate,top3_rate,style_escape,style_sprint,style_chase,style_other,start_number,back_number,recent_place1,recent_date1,recent_result1_1,recent_result1_2,recent_result1_3,recent_result1_4,recent_place2,recent_date2,recent_result2_1,recent_result2_2,recent_result2_3,recent_result2_4,recent_place3,recent_date3,recent_result3_1,recent_result3_2,recent_result3_3,recent_result3_4,comment,line_id,line_pos,race_grade,class_name
2025-06-01,44,10,2,2,竹野　百香,15765,22,三重,124,Ｌ１,両,3.77,55.79,14,7,4,3,50.0,75.0,89.29,7,10,2,2,1,13,大垣,05/30,予1,予1,,,函館,05/19,予2,予1,決1,,武雄,05/05,予2,予2,決2,,二日目はＨＳもＢＳも向かい風でしたね。自力で。,2,1,F2,ガ決勝
2025-06-01,44,10,3,3,佐々木　綾,15393,25,東京,116,Ｌ１,両,3.79,51.07,3,1,12,14,10.0,13.33,53.33,0,2,1,1,0,1,大垣,05/30,予4,予3,,,川崎,05/05,予3,予4,決6,,宇都宮,04/22,予1,予1,決3,,決勝に乗れて良かった。自在にやります。,4,1,F2,ガ決勝
2025-06-01,44,10,4,4,永禮　美瑠,15492,25,愛知,118,Ｌ１,両,3.77,53.22,2,10,5,10,7.41,44.44,62.96,0,4,2,6,4,3,大垣,05/30,予2,予4,,,小松島,05/14,予2,予4,決6,,高松,05/05,予2,予3,決4,,反応できてるし状態は悪くない。いける所から。,5,1,F2,ガ決勝
2025-06-01,44,10,5,5,細田　愛未,15069,29,埼玉,108,Ｌ１,両,3.79,55.2,5,5,1,4,33.33,66.67,73.33,1,3,5,1,0,3,大垣,05/30,予1,予2,,,玉野,05/18,予1,予1,決3,,岐阜,04/25,予2,ガ準決2,決7,,上手く力が伝わっていない感じがする。自在で。,6,1,F2,ガ決勝
2025-06-01,44,10,6,6,松井　優佳,15769,26,大阪,124,Ｌ１,両,3.77,52.82,5,4,9,10,17.86,32.14,64.29,4,2,3,0,5,10,大垣,05/30,予3,予1,,,熊本,05/13,予1,予3,決3,,西武園,05/05,予2,予1,決6,,初日も距離を踏めたし悪くないですね。自力自在。,1,1,F2,ガ決勝
2025-06-01,44,10,6,7,蛯原　杏奈,15573,25,北海,120,Ｌ１,追,3.77,47.95,0,4,1,16,0.0,19.05,23.81,0,1,1,2,3,0,大垣,05/30,予2,予4,,,武雄,05/05,予5,予6,般4,,宇都宮,04/22,予3,予7,般7,,久々の決勝。動く人多いし、いつも通り好位狙い。,7,1,F2,ガ決勝
2025-06-01,44,11,1,1,尾方　祐仁,15716,21,岐阜,123,Ａ２,逃,3.92,92.05,7,6,2,5,35.0,65.0,75.0,8,4,0,1,5,11,大垣,05/30,予2,準1,,,四日市,05/17,予2,準1,決5,,福井,04/24,予3,準3,特1,,まだ優勝はないので地元で決めたいですね。自力で。,1,1,F2,決勝
2025-06-01,44,11,2,2,徳丸　泰教,14481,39,兵庫,95,Ａ２,追,3.92,87.29,4,6,3,8,19.05,47.62,61.9,0,0,6,4,2,1,大垣,05/30,予2,準1,,,弥彦,05/01,予3,準2,決2,,福井,04/24,予3,準7,般1,,一発ある後藤君を信じていた。もちろん決勝も任せる。,2,2,F2,決勝
2025-06-01,44,11,3,3,國村　　洋,13354,48,山口,80,Ａ１,追,3.92,90.9,2,1,7,12,9.09,13.64,45.45,0,0,3,0,2,0,大垣,05/30,初5,準3,,,別府,05/09,初5,準4,決3,,防府,04/27,初6,準3,決3,,今開催は自分の仕事ができてないですね。八谷さんへ。,3,2,F2,決勝
2025-06-01,44,11,4,4,三宅　裕武,13955,43,三重,88,Ａ１,追,3.92,91.89,1,6,4,8,5.26,36.84,57.89,0,0,2,5,0,0,大垣,05/30,初3,準2,,,岸和田,05/18,初5,準3,決5,,青森,05/07,初2,準2,決2,,最近は本当に前が抜けていない。準決同様に尾方君へ。,1,2,F2,決勝
