date,venue_name,venue_id
20121003,名古屋,42
20121003,久留米,83
20121003,宇都宮,24
20121003,奈良,53
20121003,前橋,22
20121003,岸和田,56
20121003,函館,11
20121003,青森,12
20121004,久留米,83
20121004,奈良,53
20121004,宇都宮,24
20121004,名古屋,42
20121004,前橋,22
20121004,佐世保,85
20121004,広島,62
20121004,青森,12
20121005,佐世保,85
20121005,青森,12
20121005,広島,62
20121005,前橋,22
20121005,名古屋,42
20121005,小倉,81
20121005,久留米,83
20121006,小倉,81
20121006,平塚,35
20121006,広島,62
20121006,一宮,
20121006,岸和田,56
20121006,佐世保,85
20121007,岸和田,56
20121007,平塚,35
20121007,一宮,
20121008,静岡,38
20121008,平塚,35
